datetime,open,high,low,close,volume,openinterest
1683763200000,0.426582,0.426582,0.380922,0.417704,17917.96618474,40
1683849600000,0.418577,0.44,0.418343,0.431707,28534.14449662,49
1683936000000,0.428579,0.428863,0.423089,0.423795,6434.09862771,9
1684022400000,0.42393,0.43,0.423301,0.426,12512.34252566,38
1684108800000,0.424159,0.429651,0.424159,0.429234,1314.47011876,12
1684195200000,0.42564,0.44,0.424055,0.44,5975.99955018,12
1684281600000,0.44,0.455918,0.44,0.447282,16882.21539812,36
1684368000000,0.448848,0.471146,0.443721,0.464343,15700.05446357,39
1684454400000,0.462,0.474916,0.462,0.4682,4109.53330113,14
1684540800000,0.466149,0.471719,0.463102,0.471719,1097.03909758,10
1684627200000,0.471471,0.471472,0.455974,0.460253,16420.29400373,24
1684713600000,0.454,0.489999,0.454,0.489999,13031.04184041,34
1684800000000,0.473655,0.489999,0.46141,0.464219,7938.8968257,22
1684886400000,0.464824,0.489998,0.44563,0.452039,37790.31377318,133
1684972800000,0.450589,0.454119,0.450067,0.453359,4595.79188523,12
1685059200000,0.4646,0.467199,0.462517,0.467199,3613.26272479,6
1685145600000,0.469,0.475,0.469,0.470082,2582.26037633,6
1685232000000,0.472,0.484143,0.472,0.483512,1799.76877327,8
1685318400000,0.482995,0.499999,0.47871,0.490194,7538.14694674,24
1685404800000,0.5,0.531999,0.49487,0.52518,22087.10370402,71
1685491200000,0.526145,0.526236,0.503271,0.510431,7768.24389161,24
1685577600000,0.509525,0.529999,0.50212,0.511049,13260.61515404,29
1685664000000,0.51447,0.52867,0.513157,0.524919,17945.23938042,44
1685750400000,0.523653,0.535,0.52045,0.522126,2556.45294391,15
1685836800000,0.523338,0.545,0.523338,0.537156,7279.44460325,19
1685923200000,0.537446,0.539459,0.493013,0.502,28516.59479518,63
1686009600000,0.516299,0.539999,0.5,0.52785,15407.25293599,32
1686096000000,0.530093,0.53019,0.511188,0.52,10807.51537715,26
1686182400000,0.52267,0.536399,0.516921,0.52898,3767.77837932,23
1686268800000,0.527329,0.539995,0.527329,0.536834,5014.50192837,16
1686355200000,0.536834,0.536834,0.47919,0.502243,22306.55883689,72
1686441600000,0.508398,0.533299,0.507108,0.533299,6065.00200366,17
1686528000000,0.533268,0.533268,0.512274,0.52,3067.34166609,11
1686614400000,0.5244,0.559189,0.51,0.518922,28322.83588578,74
1686700800000,0.51,0.58997,0.47,0.48187,18760.05444893,57
1686787200000,0.48967,0.549963,0.470359,0.484534,6305.58227147,27
1686873600000,0.481672,0.481672,0.46,0.472262,13979.31714368,39
1686960000000,0.481239,0.519999,0.481239,0.483489,4493.94254252,7
1687046400000,0.479,0.494315,0.479,0.49226,4064.86181179,13
1687132800000,0.495707,0.49584,0.486171,0.495743,4972.23634728,10
1687219200000,0.489,0.489,0.477,0.487616,7411.22582773,13
1687305600000,0.498889,0.5,0.492384,0.495302,21409.11204533,43
1687392000000,0.5075,0.52,0.490851,0.490851,4513.59955031,14
1687478400000,0.495649,0.498,0.487561,0.494521,4160.64263391,11
1687564800000,0.491967,0.491967,0.484762,0.487849,4566.6698139,10
1687651200000,0.486362,0.495629,0.486362,0.490493,626.71074644,6
1687737600000,0.485101,0.485459,0.475782,0.4779,24200.82877267,31
1687824000000,0.478,0.485,0.475031,0.485,5105.68406375,21
1687910400000,0.485,0.485,0.455,0.46499,5417.50888749,31
1687996800000,0.468769,0.492866,0.468769,0.476783,1891.1552191,11
1688083200000,0.480228,0.483238,0.458469,0.458469,10189.81723476,30
1688169600000,0.47,0.47561,0.469968,0.473,23376.46629135,19
1688256000000,0.479551,0.492867,0.47835,0.481363,2722.65976833,16
1688342400000,0.486999,0.49456,0.478951,0.48863,21339.42425759,59
1688428800000,0.48863,0.491059,0.48587,0.491059,3833.60372701,10
1688515200000,0.489038,0.489827,0.474351,0.478302,6601.25392422,21
1688601600000,0.477309,0.481429,0.46027,0.468811,22409.41689511,38
1688688000000,0.472243,0.49,0.466021,0.469841,6215.76672499,18
1688774400000,0.489801,0.489999,0.466029,0.470932,4284.25892117,15
1688860800000,0.471644,0.471699,0.47,0.47,3279.56405524,13
1688947200000,0.466021,0.480849,0.466021,0.480849,8964.17963259,29
1689033600000,0.474874,0.477725,0.472414,0.475809,7009.52276401,15
1689120000000,0.47477,0.47477,0.469802,0.46982,6395.89043179,9
1689206400000,0.46892,0.9,0.46892,0.81579,208291.49533352,704
1689292800000,0.815507,0.815555,0.666215,0.721,54209.97114432,183
